gem_location_id,plant_name,province,latitude,longitude,treated,pilot,cohort_year,year,q,yq,so2_mean,so2_median,n_valid_days,so2_std
L100000100200,Anhui Bengbu power station,Anhui,32.78444,117.11472,0,,0,2019,1,2019Q1,0.1571777767812212,0.0599999986588954,15,0.34986691186306706
L100000100200,Anhui Bengbu power station,Anhui,32.78444,117.11472,0,,0,2019,2,2019Q2,0.14808333292603493,0.12999999895691872,16,0.26243227701963157
L100000100200,Anhui Bengbu power station,Anhui,32.78444,117.11472,0,,0,2019,3,2019Q3,-0.01609333209693432,-0.0216666664928197,25,0.30390597361370486
L100000100200,Anhui Bengbu power station,Anhui,32.78444,117.11472,0,,0,2019,4,2019Q4,0.06497727215967396,-0.07999999821186066,22,0.4092435994997255
L100000100200,Anhui Bengbu power station,Anhui,32.78444,117.11472,0,,0,2020,1,2020Q1,-0.1411499950103462,0.00124999973922965,10,0.40942554253611063
L100000100200,Anhui Bengbu power station,Anhui,32.78444,117.11472,0,,0,2020,2,2020Q2,0.07314492448273559,0.0900000035762786,23,0.20040985793635502
L100000100200,Anhui Bengbu power station,Anhui,32.78444,117.11472,0,,0,2020,3,2020Q3,-0.02548888338108856,-0.0516666658222675,15,0.25603387633792457
L100000100200,Anhui Bengbu power station,Anhui,32.78444,117.11472,0,,0,2020,4,2020Q4,0.08240832935553045,0.0008333325386047,20,0.2677607889003627
L100000100200,Anhui Bengbu power station,Anhui,32.78444,117.11472,0,,0,2021,1,2021Q1,-0.13533333446020665,-0.089999996125698,23,0.5431762973211375
L100000100200,Anhui Bengbu power station,Anhui,32.78444,117.11472,0,,0,2021,2,2021Q2,-0.010316672082990402,0.0249999994412064,20,0.3054567533114961
L100000100200,Anhui Bengbu power station,Anhui,32.78444,117.11472,0,,0,2021,3,2021Q3,0.022697914275340732,0.0394999990239739,16,0.2764917354064665
L100000100200,Anhui Bengbu power station,Anhui,32.78444,117.11472,0,,0,2021,4,2021Q4,0.03902666814625263,-0.0033333301544189,25,0.25937869493425825
L100000100200,Anhui Bengbu power station,Anhui,32.78444,117.11472,0,,0,2022,1,2022Q1,0.005803926464389372,-0.093333326280117,17,0.47850761390841634
L100000100200,Anhui Bengbu power station,Anhui,32.78444,117.11472,0,,0,2022,2,2022Q2,0.16432500097434968,0.2299999669194221,20,0.29490121497836
L100000100200,Anhui Bengbu power station,Anhui,32.78444,117.11472,0,,0,2022,3,2022Q3,0.0880208323263408,0.03499999735504385,24,0.19573360633725193
L100000100200,Anhui Bengbu power station,Anhui,32.78444,117.11472,0,,0,2022,4,2022Q4,0.03444444587720292,-0.0116666657850146,21,0.2990523612757578
