gem_location_id,plant_name,province,latitude,longitude,treated,pilot,cohort_year,year,q,yq,so2_mean,so2_median,n_valid_days,so2_std
L100000100200,Anhui Bengbu power station,Anhui,32.78444,117.11472,0,,0,2019,1,2019Q1,0.1571777767812212,0.0599999986588954,15,0.349866911863067
L100000100201,Anhui Huainan Panji power station,Anhui,32.76917,116.759595,0,,0,2019,1,2019Q1,0.135944444189469,0.0650000050663948,15,0.4225249966671463
L100000100205,Chizhou Jiuhua power station,Anhui,30.7531097,117.5906618,0,,0,2019,1,2019Q1,-0.0144583343062549,-0.0150000005960464,16,0.1119598379306086
L100000100206,Pingwei power station,Anhui,32.68417,116.901389,0,,0,2019,1,2019Q1,0.1236888907228907,0.0528571344912052,15,0.3339240588969247
L100000100211,Fuyang power station,Anhui,33.00444,115.845278,0,,0,2019,1,2019Q1,0.0304888859391212,-0.0216666851192712,15,0.2371767080351867
L100000100218,Wuhu power station,Anhui,31.2372348,118.1497184,0,,0,2019,1,2019Q1,0.0332666644205649,0.0700000002980232,15,0.3067622667004257
L100000100222,Huaibei Pingshan power station,Anhui,33.83392,116.831102,0,,0,2019,1,2019Q1,0.1068518546720345,0.1149999983608722,18,0.3194403237614741
L100000100223,Huainan Fengtai power station,Anhui,32.758,116.65,0,,0,2019,1,2019Q1,0.1339999981224537,0.199999988079071,15,0.391107407240917
L100000100225,Huainan Luohe power station,Anhui,32.68455,117.07511,0,,0,2019,1,2019Q1,0.1469999961555004,0.0766666643321514,16,0.2800663543126911
L100000100226,Huainan Tianji power station,Anhui,32.7465,116.8127,0,,0,2019,1,2019Q1,0.160888887134691,0.0649999976158142,15,0.3572346833410461
L100000100233,Lixin Banji power station,Anhui,32.897245,116.242561,0,,0,2019,1,2019Q1,0.107602037223322,0.161428578197956,14,0.2085566720701404
L100000100237,Anqing power station,Anhui,30.541,117.1717,0,,0,2019,1,2019Q1,0.022333333765467,0.0049999952316284,15,0.1511238353353847
L100000100240,Suzhou Qianyingzi power station,Anhui,33.5107954,116.9261351,0,,0,2019,1,2019Q1,0.0514210539036675,0.0750000178813934,19,0.3418299146054208
L100000100242,Tongling Wanneng power station,Anhui,30.88181,117.76439,0,,0,2019,1,2019Q1,-0.0912689071367768,-0.0716666653752327,17,0.2029850635849205
L100000100245,Ma'anshan power station,Anhui,31.750737,118.4796925,0,,0,2019,1,2019Q1,0.171217950204244,0.1899999976158142,13,0.3170581687466899
L100000100269,Chongqing Shuanghuai power station,Chongqing,30.1611074,106.5480599,1,CQ_pilot,2013,2019,1,2019Q1,-0.0131250011618249,-0.0408333329251036,4,0.1113394286050801
L100000100272,Luohuang power station,Chongqing,29.347364,106.433182,1,CQ_pilot,2013,2019,1,2019Q1,-0.0355333320796489,-0.021000001579523,10,0.1420276541369759
L100000100276,Chongqing Wanzhou power station,Chongqing,30.677938,108.398976,1,CQ_pilot,2013,2019,1,2019Q1,0.0759999994188546,0.0850000008940696,10,0.0944222187767747
L100000100283,Ningde power station,Fujian,26.7574469,119.7353942,1,FJ_pilot,2016,2019,1,2019Q1,0.0386363643814216,0.0874999985098838,11,0.23264071627896
L100000100285,Fujian Hongshan power station,Fujian,24.7272766,118.7496944,1,FJ_pilot,2016,2019,1,2019Q1,-0.0570833307897878,-0.032499998807907,18,0.2016261991449063
L100000100287,Fuzhou Kemen power station,Fujian,26.3734254,119.7622418,1,FJ_pilot,2016,2019,1,2019Q1,0.0599166695028543,0.0583333373069762,10,0.1230555273197505
L100000100288,Fuzhou Jiangyin power station,Fujian,25.438464,119.3396226,1,FJ_pilot,2016,2019,1,2019Q1,-0.0611538467212365,-0.0799999982118606,13,0.2076719446282965
L100000100291,Houshi power station,Fujian,24.3030594,118.1259157,1,FJ_pilot,2016,2019,1,2019Q1,-0.0101904797234705,-0.0416666660457849,14,0.15855057387055
L100000100293,Huaneng Fuzhou power station,Fujian,25.99083,119.4816,1,FJ_pilot,2016,2019,1,2019Q1,0.13618055327485,0.1849999949336051,12,0.1966308595571444
L100000100298,Luoyuan Bay power station,Fujian,26.385334,119.789459,1,FJ_pilot,2016,2019,1,2019Q1,0.0603428579866886,0.0607142783701419,10,0.1172734692380795
L100000100299,Meizhouwan power station,Fujian,25.1608278,119.0333354,1,FJ_pilot,2016,2019,1,2019Q1,0.0666666742270955,0.0549999959766864,13,0.2089524162580903
L100000100300,Nanpu Quanzhou power station,Fujian,25.2044,118.94385,1,FJ_pilot,2016,2019,1,2019Q1,0.0812727221372452,0.0700000077486038,11,0.2071835236804232
L100000100303,Xiamen Songyu power station,Fujian,24.4460582,118.0267975,1,FJ_pilot,2016,2019,1,2019Q1,-0.0721794906287238,-0.0549999997019767,13,0.2829835574776321
L100000100318,Guazhou Changle power station,Gansu,40.6599,96.513,0,,0,2019,1,2019Q1,0.0513312990391036,0.0175000019371509,41,0.2326112049630676
L100000100320,Zhangye power station,Gansu,39.071222,100.462929,0,,0,2019,1,2019Q1,-0.0288703724741935,-0.0483333356678485,45,0.2734746054307096
L100000100326,Pingliang power station,Gansu,35.5017,106.7861,0,,0,2019,1,2019Q1,-0.0235833332956056,-0.0016666667070239,34,0.2929374444452576
