year,treated,so2_mean,so2_median,n_plant_quarters
2019,0,0.06754733362472949,0.0526785664260387,616
2019,1,0.03929619718241113,0.03000000445172185,244
2020,0,0.06550870029494713,0.056666669435799066,616
2020,1,0.03724034885737809,0.03666666522622103,244
2021,0,0.06926206867722423,0.0516666695475578,616
2021,1,0.043140677195813756,0.028333331923931802,244
2022,0,0.06752555794391632,0.050000000745058,616
2022,1,0.0511839158854519,0.042750001302920254,244
2023,0,0.054053253999750105,0.0451666703447699,616
2023,1,0.04897171080730045,0.04833333287388078,244
2024,0,0.06151171316129612,0.050357141532003824,616
2024,1,0.04700486425955633,0.0381666650064289,244
2025,0,0.06474696892180004,0.04866071417927735,616
2025,1,0.1464777922596903,0.03500000061467285,244
2026,0,0.05384889131417977,0.0433333329856395,308
2026,1,0.047300154198148835,0.0300000058487057,122
